feature,importance_mean,importance_std
twelfth_percentage,0.011997177134791792,0.00810254544909111
aptitude_index,0.009718721645327121,0.005555754737951183
academic_index,0.009033168666196167,0.0057230103276601114
cgpa,0.006532916624659757,0.00655397948024355
target_role_QA Engineer,0.0060590785361427256,0.0018504449506253622
quantitative_aptitude_score,0.006018751890311503,0.004513849304400159
semester,0.004819034176832304,0.0037211574959747956
practical_experience_index,0.004748462546627618,0.004146603412727758
tenth_percentage,0.004577074301844941,0.001677438204318409
presentation_score,0.0023994354269583186,0.0007405733510316146
aws_skill,0.002167557213428728,0.0014791209548463801
aptitude_score,0.0018146990624054338,0.001415028616555945
python_skill,0.0015324125415868473,0.0008249731846145428
leadership_roles,0.001532412541586825,0.000954089578733418
num_frameworks,0.001088819437443267,0.0009583413358859686
coding_score,0.0008972678697448999,0.0011560549362002197
target_role_Full Stack Developer,0.0008670228853714934,0.001225823905923641
hackathons_participated,0.0008266962395402477,0.002493168583708343
tech_society_participation,0.0007863695937090021,0.00043198478245043827
department_CSE,0.0007762879322512183,0.0012047901808056555
target_role_Data Analyst,0.0005948180260106683,0.0002568351487621139
communication_index,0.0004536747656013196,0.0035179798392701443
cert_cloud,0.000443593104143547,0.0004161662958070383
certifications_count,0.0003831031353967007,0.0011712096567361506
sql_skill,0.000352858151023272,0.0020775317706229093
react_skill,0.0003427764895654661,0.0010813257528211819
fw_pandas,0.0003427764895654661,0.00044221619517010756
interview_score,0.000332694828107627,0.0010001191097845988
num_prog_languages,0.00024195987498735195,0.00030975484415237997
lang_java,0.00022683738280064868,0.0003515956848970974
department_ECE,0.0001613065833249383,0.00041860146168015016
cert_web,0.0,0.0
cert_dsa,0.0,0.0
lang_python,0.0,0.0
fw_aws,0.0,0.0
fw_react,0.0,0.0
department_Mechanical,0.0,0.0
target_role_DevOps Engineer,0.0,0.0
department_IT,-0.00014114326040935986,0.00026749670655149964
department_EEE,-0.00017138824478276637,0.0004441655564454449
communication_score,-0.00018146990624058336,0.0002621231979030183
technical_skill_index,-0.00019155156769835592,0.0018749993128718341
projects_count,-0.00020163322915621728,0.0010151987801330275
verbal_fluency_score,-0.0002621231979030636,0.0012349109384238385
fw_git,-0.0002923681822764812,0.0001385999302839427
internships_count,-0.00034277648956547723,0.0018403934233245278
department_AI&DS,-0.00037302147393895033,0.0003551550550218635
extracurricular_index,-0.00050408307289046,0.0015481178214017022
cert_python,-0.0005141647343482325,0.00031382966864146
fw_spring_boot,-0.0005343280572638664,0.0003522815850318737
lang_ccpp,-0.0005746547030950677,0.0010301563825003465
num_verified_certs,-0.0006048996874684853,0.00046855328313830493
dsa_skill,-0.0008166145780824751,0.0010471832966692726
backlogs,-0.0008166145780824863,0.00045412261839119567
project_complexity,-0.0009073495312027946,0.0014427699421311457
cert_sql,-0.0009275128541183953,0.0007910089825963524
logical_aptitude_score,-0.0013408609738885247,0.0025568691525317496
java_skill,-0.0013408609738885468,0.001261658606224566
open_source_contributions,-0.0034781732029439015,0.005286339157378598
